Name,Adresse,PLZ,Stadt,Homepage,Telefon,Typ/Marken
Autohaus Zeaiter,Nerscheiderweg 18,52076,Aachen,,,KFZ Handel
KFZ Handel A.Miller,Moltke Str. 2,52066,Aachen,,,
AC Autozentrum Verlautenheide,Elsassstrasse 131,52068,Aachen,,,
AixClusive cars 'n more,Rotter Bruch 14,52068,Aachen,,,"Mercedes-Benz, Audi, Porsche, Neu-, Vorführ-, Jahres- und Gebrauchtfahrzeuge"
Auto Thüllen Aachen,Rotter Bruch 25,52068,Aachen,,,"Opel-Vertragshändler, Hyundai, Chevrolet"
Autohaus Fleischhauer,Europaplatz 10,52068,Aachen,https://www.fleischhauer.de,,"Volkswagen, Audi, ŠKODA, SEAT"
Autos96,Freunder Weg 96,52068,Aachen,,,Fahrzeug- und Nutzfahrzeughandel
Porsche Zentrum Aachen,Europaplatz 10,52068,Aachen,,,Porsche-Vertragshändler
Wahl-Group Aachen,Dresdener Straße 20,52068,Aachen,https://www.wahl-group.de,,"17 Marken, 29 Standorte"
Autohaus Souren,Am Gut Wolf 10,52070,Aachen,,,Mitsubishi und KIA Vertragshändler
